Wavelength,1200K-MacbookAir2011,1900K-MacbookAir2011,2300K-MacbookAir2011,2700K-MacbookAir2011,3400K-MacbookAir2011,4100K-MacbookAir2011,5000K-MacbookAir2011,6500K-MacbookAir2011,blue-MacbookAir2011,green-MacbookAir2011,red-MacbookAir2011,This data is licensed from the f.luxometer project (https://fluxometer.com/) and f.lux Software LLC by CC-Attribution: https://creativecommons.org/licenses/by/4.0/
560,0.000231,0.000942,0.001388,0.001802,0.002391,0.002941,0.003436,0.004172,0.000367,0.004006,0.000049
564,0.000239,0.000909,0.001335,0.001728,0.002288,0.002811,0.003277,0.003955,0.000275,0.003863,0.000069
568,0.0003,0.000928,0.001324,0.001691,0.002216,0.002706,0.003145,0.003769,0.000211,0.003681,0.00014
572,0.000506,0.001094,0.001464,0.001806,0.002294,0.002751,0.003162,0.003754,0.000166,0.003488,0.000355
576,0.000985,0.001527,0.001868,0.002184,0.002635,0.003058,0.003454,0.004023,0.000133,0.003279,0.000848
580,0.001705,0.002196,0.002505,0.002793,0.003206,0.003597,0.00398,0.004525,0.000107,0.003036,0.001584
584,0.002449,0.002893,0.003172,0.003433,0.003807,0.004164,0.004523,0.005025,0.000086,0.002744,0.002341
588,0.003081,0.003476,0.003721,0.003953,0.004283,0.004598,0.004909,0.005328,0.000068,0.002376,0.002986
592,0.003423,0.003769,0.003984,0.004187,0.004475,0.004747,0.004999,0.00534,0.000055,0.002037,0.00334
596,0.003554,0.003842,0.004023,0.004193,0.004433,0.004658,0.004844,0.005108,0.000045,0.001689,0.003483
600,0.003541,0.00377,0.003915,0.004049,0.00424,0.004415,0.00455,0.004746,0.000038,0.001343,0.003484
604,0.003459,0.003632,0.003743,0.003846,0.00399,0.004121,0.004222,0.004367,0.000032,0.001025,0.003413
608,0.0033,0.003422,0.0035,0.003574,0.003676,0.003767,0.003839,0.003949,0.000032,0.000731,0.003268
612,0.003142,0.003229,0.003286,0.003339,0.003413,0.003479,0.003533,0.003612,0.00003,0.000537,0.003118
616,0.002991,0.003055,0.003097,0.003135,0.003192,0.00324,0.003282,0.003347,0.000028,0.000399,0.002975
620,0.002838,0.002886,0.002919,0.002948,0.00299,0.003024,0.003058,0.003109,0.000029,0.000304,0.002826
624,0.002667,0.002705,0.00273,0.002753,0.002786,0.002814,0.002843,0.002893,0.000032,0.000239,0.002657
628,0.002466,0.002497,0.002517,0.002537,0.002564,0.002585,0.002611,0.002656,0.000032,0.000196,0.002457
632,0.002309,0.002334,0.002352,0.002368,0.002394,0.00241,0.00244,0.002483,0.000038,0.000166,0.002301
636,0.002171,0.002195,0.002212,0.002227,0.002246,0.002262,0.002288,0.002337,0.00004,0.000145,0.002166
640,0.002037,0.002056,0.002072,0.002084,0.002102,0.002117,0.002141,0.002188,0.000041,0.000126,0.002031
644,0.001896,0.001913,0.001929,0.001939,0.001954,0.001967,0.001991,0.002046,0.000048,0.000107,0.001893
648,0.001738,0.001754,0.001762,0.001773,0.001788,0.001802,0.001823,0.001871,0.00005,0.000093,0.001735
652,0.001609,0.001621,0.001629,0.001637,0.001653,0.001666,0.001685,0.001732,0.000053,0.00008,0.001604
656,0.001486,0.001495,0.001503,0.001511,0.001527,0.001537,0.001555,0.001608,0.00006,0.000074,0.001481
660,0.001368,0.001378,0.001386,0.001393,0.001407,0.001419,0.001435,0.001496,0.000061,0.000069,0.001365
664,0.001259,0.001265,0.001274,0.00128,0.001294,0.001307,0.001321,0.001382,0.000057,0.00007,0.001251
668,0.001141,0.001147,0.001158,0.001162,0.001181,0.00119,0.001209,0.00126,0.000057,0.00007,0.001135
672,0.001039,0.001048,0.001057,0.001061,0.001078,0.001092,0.001105,0.001163,0.000055,0.000076,0.001034
676,0.000938,0.000948,0.000955,0.000958,0.000978,0.000992,0.001008,0.001058,0.000055,0.000082,0.000932
680,0.000844,0.000852,0.000859,0.000864,0.000886,0.000899,0.000914,0.000977,0.000052,0.000086,0.000838
684,0.000756,0.000767,0.000775,0.000777,0.000802,0.000811,0.000829,0.000892,0.000047,0.000088,0.000751
688,0.000688,0.000699,0.000707,0.000712,0.000732,0.000746,0.000755,0.000813,0.000044,0.000091,0.000683
692,0.000637,0.00065,0.000658,0.000659,0.000684,0.000696,0.000711,0.000767,0.000046,0.000094,0.000632
696,0.000586,0.000598,0.000606,0.00061,0.000632,0.000645,0.000653,0.000714,0.000047,0.000094,0.00058
700,0.000527,0.000539,0.000544,0.000547,0.000571,0.000581,0.000596,0.00065,0.000036,0.000094,0.000524
704,0.000462,0.000471,0.000477,0.000481,0.0005,0.000514,0.000527,0.000586,0.000037,0.000095,0.000457
708,0.000406,0.000417,0.000421,0.000423,0.000442,0.000456,0.000475,0.000509,0.00003,0.000087,0.000403
712,0.000364,0.000375,0.000379,0.000379,0.000397,0.000407,0.000423,0.000451,0.000024,0.00008,0.000361
716,0.000327,0.000337,0.000339,0.000341,0.000356,0.000367,0.000376,0.000399,0.000018,0.00007,0.000325
720,0.000296,0.000301,0.000303,0.000302,0.000318,0.000331,0.000335,0.000352,0.000017,0.000055,0.000295
724,0.00026,0.000269,0.000265,0.000269,0.000282,0.000291,0.000306,0.000313,0.00001,0.000046,0.000262
728,0.000232,0.000241,0.000236,0.000242,0.000249,0.000263,0.000271,0.000283,0,0.000041,0.000237
732,0.000207,0.000216,0.000211,0.000216,0.00022,0.000235,0.000248,0.000246,0.000006,0.000036,0.000213
736,0.000188,0.000197,0.00019,0.000192,0.000197,0.000215,0.000227,0.000207,0.000008,0.000033,0.000192
740,0.000171,0.000173,0.000168,0.000183,0.000174,0.000192,0.000213,0.000206,0.000006,0.000036,0.000172
744,0.000153,0.000159,0.000156,0.000164,0.00016,0.000191,0.000206,0.000184,0.000004,0.000038,0.000159
748,0.000142,0.000144,0.000142,0.000155,0.000149,0.000178,0.000187,0.000149,0.000004,0.000043,0.000145
752,0.000128,0.000134,0.000125,0.000154,0.000137,0.000168,0.000173,0.000142,0.000002,0.000049,0.000135
756,0.000112,0.000125,0.000108,0.000141,0.000121,0.000164,0.000168,0.000147,0.000006,0.000048,0.000121
760,0.000103,0.000111,0.000104,0.000134,0.000112,0.000154,0.000169,0.000121,0.000003,0.000058,0.000113
764,0.000094,0.000103,0.000099,0.000134,0.000106,0.000141,0.000162,0.000072,0.00001,0.000054,0.000109
768,0.000084,0.000099,0.000091,0.000136,0.000098,0.000148,0.000172,0.000111,0.00002,0.000064,0.000094
772,0.00009,0.000094,0.000084,0.000139,0.000092,0.000134,0.000174,0.000136,0.000022,0.000067,0.000085
776,0.000081,0.00008,0.000087,0.000131,0.000095,0.00015,0.000184,0.000113,0.000024,0.000075,0.000082
780,0.000075,0.000068,0.000095,0.000142,0.000097,0.00014,0.000175,0.000149,0.000044,0.0001,0.000072
