380,0.00003,-0.00001,0.00117,0.0252,-0.0084,0.9832
385,0.00005,-0.00002,0.00189,0.0260,-0.0104,0.9844
390,0.00010,-0.00004,0.00359,0.0274,-0.0110,0.9836
395,0.00017,-0.00007,0.00647,0.0259,-0.0107,0.9848
400,0.00030,-0.00014,0.01214,0.0244,-0.0114,0.9870
405,0.00047,-0.00022,0.01969,0.0236,-0.0110,0.9875
410,0.00084,-0.00041,0.03707,0.0224,-0.0109,0.9885
415,0.00139,-0.00007,0.06637,0.0205,-0.0010,0.9805
420,0.00211,-0.00110,0.11541,0.0181,-0.0094,0.9913
425,0.00266,-0.00143,0.18575,0.0142,-0.0076,0.9934
430,0.00218,-0.00119,0.24769,0.0088,-0.0048,0.9960
435,0.00036,0.00031,0.29012,0.0012,0.0011,0.9977
440,-0.00261,0.00149,0.31228,-0.0084,0.0048,1.0036
445,-0.00673,0.00379,0.31860,-0.0213,0.0120,1.0093
450,-0.01213,0.00678,0.31670,-0.0390,0.0218,1.0172
455,-0.01874,0.01046,0.31166,-0.0618,0.0345,1.0273
460,-0.02608,0.01485,0.29821,-0.0909,0.0517,1.0391
465,-0.03324,0.01977,0.27295,-0.1281,0.0762,1.0519
470,-0.03933,0.02538,0.22910,-0.1828,0.1180,1.0648
475,-0.04471,0.03183,0.18592,-0.2584,0.1839,1.0744
480,-0.04939,0.03914,0.14494,-0.3667,0.2906,1.0761
485,-0.05364,0.04713,0.10968,-0.5199,0.4568,1.0631
490,-0.05814,0.05689,0.08257,-0.7150,0.6996,1.0154
495,-0.06414,0.06948,0.06247,-0.9459,1.0246,0.9213
500,-0.07173,0.08536,0.04776,-1.1684,1.3905,0.7780
505,-0.08120,0.10593,0.03688,-1.3180,1.7194,0.5986
510,-0.08901,0.12860,0.02698,-1.3371,1.9318,0.4053
515,-0.09356,0.15262,0.01842,-1.2075,1.9698,0.2377
520,-0.09264,0.17468,0.01221,-0.9829,1.8534,0.1295
525,-0.08473,0.19113,0.00830,-0.7387,1.6663,0.0724
530,-0.07101,0.20317,0.00549,-0.5159,1.4760,0.0399
535,-0.05316,0.21083,0.00320,-0.3305,1.3106,0.0199
540,-0.03152,0.21466,0.00146,-0.1707,1.1628,0.0079
545,-0.00613,0.21487,0.00023,-0.0293,1.0282,0.0011
550,0.02279,0.21178,-0.00058,0.0974,0.9051,-0.0025
555,0.05514,0.20588,-0.00105,0.2121,0.7919,-0.0040
560,0.09060,0.19702,-0.00130,0.3164,0.6881,-0.0045
565,0.12840,0.18522,-0.00138,0.4112,0.5932,-0.0044
570,0.16768,0.17087,-0.00135,0.4973,0.5067,-0.0040
575,0.20715,0.15429,-0.00123,0.5751,0.4283,-0.0034
580,0.24526,0.13610,-0.00108,0.6449,0.3579,-0.0028
585,0.27989,0.11686,-0.00093,0.7071,0.2952,-0.0023
590,0.30928,0.09754,-0.00079,0.7617,0.2402,-0.0019
595,0.33184,0.07909,-0.00063,0.8088,0.1928,-0.0015
600,0.34429,0.06246,-0.00049,0.8475,0.1537,-0.0012
605,0.34756,0.04776,-0.00038,0.8800,0.1209,-0.0010
610,0.33971,0.03557,-0.00030,0.9059,0.0949,-0.0008
615,0.32265,0.02583,-0.00022,0.9265,0.0742,-0.0006
620,0.29708,0.01828,-0.00015,0.9425,0.0580,-0.0005
625,0.26348,0.01253,-0.00011,0.9550,0.0454,-0.0004
630,0.22677,0.00833,-0.00008,0.9649,0.0354,-0.0003
635,0.19233,0.00537,-0.00005,0.9731,0.0272,-0.0003
640,0.15968,0.00340,-0.00003,0.9793,0.0209,-0.0002
645,0.12905,0.00199,-0.00020,0.9863,0.0152,-0.0015
650,0.10167,0.00160,-0.00010,0.9855,0.0155,-0.0010
655,0.07857,0.00066,-0.00010,0.9929,0.0083,-0.0013
660,0.05932,0.00037,0.00000,0.9938,0.0062,0.0000
665,0.04366,0.00021,0.00000,0.9952,0.0048,0.0000
670,0.03149,0.00011,0.00000,0.9965,0.0035,0.0000
675,0.02294,0.00006,0.00000,0.9974,0.0026,0.0000
680,0.01687,0.00003,0.00000,0.9982,0.0018,0.0000
685,0.01187,0.00001,0.00000,0.9992,0.0008,0.0000
690,0.00819,0.00000,0.00000,1.0000,0.0000,0.0000
695,0.00572,0.00000,0.00000,1.0000,0.0000,0.0000
700,0.00410,0.00000,0.00000,1.0000,0.0000,0.0000
705,0.00291,0.00000,0.00000,1.0000,0.0000,0.0000
710,0.00210,0.00000,0.00000,1.0000,0.0000,0.0000
715,0.00148,0.00000,0.00000,1.0000,0.0000,0.0000
720,0.00105,0.00000,0.00000,1.0000,0.0000,0.0000
725,0.00074,0.00000,0.00000,1.0000,0.0000,0.0000
730,0.00052,0.00000,0.00000,1.0000,0.0000,0.0000
735,0.00036,0.00000,0.00000,1.0000,0.0000,0.0000
740,0.00025,0.00000,0.00000,1.0000,0.0000,0.0000
745,0.00017,0.00000,0.00000,1.0000,0.0000,0.0000
750,0.00012,0.00000,0.00000,1.0000,0.0000,0.0000
755,0.00008,0.00000,0.00000,1.0000,0.0000,0.0000
760,0.00006,0.00000,0.00000,1.0000,0.0000,0.0000
765,0.00004,0.00000,0.00000,1.0000,0.0000,0.0000
770,0.00003,0.00000,0.00000,1.0000,0.0000,0.0000
775,0.00010,0.00000,0.00000,1.0000,0.0000,0.0000
780,0.00000,0.00000,0.00000,1.0000,0.0000,0.0000
